10
Complete question [1], time: 2.745728015899658
Complete question [2], time: 7.915496826171875e-05
Complete question [3], time: 1.371690034866333
Complete question [4], time: 1.393110752105713
Complete question [5], time: 1.3674366474151611
Complete question [6], time: 2.7335591316223145
Complete question [7], time: 4.649162292480469e-05
Complete question [8], time: 0.0001499652862548828
Complete question [9], time: 7.82012939453125e-05
Complete question [10], time: 1.3713679313659668
Complete question [11], time: 5.519265413284302
Complete question [12], time: 3.409385681152344e-05
Complete question [13], time: 0.0001671314239501953
Complete question [14], time: 8.273124694824219e-05
Complete question [15], time: 7.176399230957031e-05
Complete question [16], time: 2.288818359375e-05
Complete question [17], time: 5.626678466796875e-05
Complete question [18], time: 9.059906005859375e-06
Complete question [19], time: 2.763396739959717
Complete question [20], time: 0.00010514259338378906
Complete question [21], time: 2.6941299438476562e-05
Complete question [22], time: 4.029273986816406e-05
Complete question [23], time: 2.2600064277648926
Complete question [24], time: 5.650520324707031e-05
Complete question [25], time: 1.4023032188415527
Complete question [26], time: 4.792213439941406e-05
Complete question [27], time: 2.0742416381835938e-05
Complete question [28], time: 2.2172927856445312e-05
Complete question [29], time: 9.751319885253906e-05
Complete question [30], time: 3.790855407714844e-05
Complete question [31], time: 6.175041198730469e-05
Complete question [32], time: 5.2928924560546875e-05
Complete question [33], time: 1.3758516311645508
Complete question [34], time: 1.3878624439239502
Complete question [35], time: 3.5762786865234375e-05
Complete question [36], time: 1.8358230590820312e-05
Complete question [37], time: 4.744529724121094e-05
Complete question [38], time: 2.786022424697876
Complete question [39], time: 2.747941255569458
Complete question [40], time: 4.38690185546875e-05
Complete question [41], time: 6.9141387939453125e-06
Complete question [42], time: 9.393692016601562e-05
Complete question [43], time: 1.71661376953125e-05
Complete question [44], time: 1.3751890659332275
Complete question [45], time: 1.373610496520996
Complete question [46], time: 0.00010418891906738281
Complete question [47], time: 5.602836608886719e-05
Complete question [48], time: 2.5987625122070312e-05
Complete question [49], time: 2.0503997802734375e-05
Complete question [50], time: 1.3740155696868896
Complete question [51], time: 1.371598720550537
Complete question [52], time: 1.3702235221862793
Complete question [53], time: 1.2159347534179688e-05
Complete question [54], time: 1.3712613582611084
Complete question [55], time: 2.3126602172851562e-05
Complete question [56], time: 1.9073486328125e-05
Complete question [57], time: 5.245208740234375e-05
Complete question [58], time: 7.843971252441406e-05
Complete question [59], time: 3.528594970703125e-05
Complete question [60], time: 0.00014328956604003906
Complete question [61], time: 1.369028091430664
Complete question [62], time: 3.361701965332031e-05
Complete question [63], time: 3.528594970703125e-05
Complete question [64], time: 7.867813110351562e-06
Complete question [65], time: 2.7598705291748047
Complete question [66], time: 1.4201529026031494
Complete question [67], time: 1.3716421127319336
Complete question [68], time: 4.168463706970215
Complete question [69], time: 7.128715515136719e-05
Complete question [70], time: 2.7317545413970947
Complete question [71], time: 2.7642292976379395
Complete question [72], time: 5.793571472167969e-05
Complete question [73], time: 4.0531158447265625e-06
Complete question [74], time: 0.00014495849609375
Complete question [75], time: 7.3909759521484375e-06
Complete question [76], time: 1.3716247081756592
Complete question [77], time: 1.365891933441162
Complete question [78], time: 9.131431579589844e-05
Complete question [79], time: 1.3683724403381348
Complete question [80], time: 2.2411346435546875e-05
Complete question [81], time: 1.3630764484405518
Complete question [82], time: 0.00015783309936523438
Complete question [83], time: 1.3777439594268799
Complete question [84], time: 2.7340853214263916
Complete question [85], time: 0.00010013580322265625
Complete question [86], time: 3.8623809814453125e-05
Complete question [87], time: 1.3779058456420898
Complete question [88], time: 0.00011014938354492188
Complete question [89], time: 6.818771362304688e-05
Complete question [90], time: 3.933906555175781e-05
Complete question [91], time: 6.318092346191406e-05
Complete question [92], time: 3.9577484130859375e-05
Complete question [93], time: 6.4373016357421875e-06
Complete question [94], time: 1.3678503036499023
Complete question [95], time: 3.266334533691406e-05
Complete question [96], time: 2.7894973754882812e-05
Complete question [97], time: 1.3646183013916016
Complete question [98], time: 1.3653857707977295
Complete question [99], time: 0.00012087821960449219
Complete question [100], time: 2.6941299438476562e-05
Complete question [101], time: 1.36696457862854
Complete question [102], time: 4.506111145019531e-05
Complete question [103], time: 2.751408338546753
Complete question [104], time: 1.3708386421203613
Complete question [105], time: 5.269050598144531e-05
Complete question [106], time: 2.8133392333984375e-05
Complete question [107], time: 2.144277572631836
Complete question [108], time: 1.3643019199371338
Complete question [109], time: 7.081031799316406e-05
Complete question [110], time: 4.100748062133789
Complete question [111], time: 0.00011777877807617188
Complete question [112], time: 2.7854204177856445
Complete question [113], time: 9.846687316894531e-05
Complete question [114], time: 9.894371032714844e-05
Complete question [115], time: 1.361945629119873
Complete question [116], time: 4.082844495773315
Complete question [117], time: 6.198883056640625e-05
Complete question [118], time: 1.3113021850585938e-05
Complete question [119], time: 6.151199340820312e-05
Complete question [120], time: 4.506111145019531e-05
Complete question [121], time: 9.322166442871094e-05
Complete question [122], time: 9.059906005859375e-06
Complete question [123], time: 1.3688411712646484
Complete question [124], time: 0.00017189979553222656
Complete question [125], time: 1.3641302585601807
Complete question [126], time: 2.742159128189087
Complete question [127], time: 5.030632019042969e-05
Complete question [128], time: 5.245208740234375e-06
Complete question [129], time: 1.3640940189361572
Complete question [130], time: 6.580352783203125e-05
Complete question [131], time: 0.0001437664031982422
Complete question [132], time: 4.76837158203125e-05
Complete question [133], time: 2.7894973754882812e-05
Complete question [134], time: 2.7242934703826904
Complete question [135], time: 2.7220921516418457
Complete question [136], time: 0.00012993812561035156
Complete question [137], time: 1.3735406398773193
Complete question [138], time: 4.410743713378906e-05
Complete question [139], time: 1.3675496578216553
Complete question [140], time: 2.73582124710083
Complete question [141], time: 1.3705666065216064
Complete question [142], time: 1.5735626220703125e-05
Complete question [143], time: 1.3675317764282227
Complete question [144], time: 1.3705134391784668
Complete question [145], time: 0.0001766681671142578
Complete question [146], time: 7.843971252441406e-05
Complete question [147], time: 2.7509829998016357
Complete question [148], time: 6.961822509765625e-05
Complete question [149], time: 1.3716073036193848
Complete question [150], time: 0.0001361370086669922
Complete question [151], time: 1.367234706878662
